                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    158,                 1.1982,                0.69179,                0.91294,                0.90061,                0.87452,                0.92468,                0.71076,                 1.0102,                0.54846,                0.87187,               0.004852,               0.004852,               0.004852
                    159,                 1.1874,                0.68706,                0.91069,                0.89823,                0.87568,                0.92502,                0.71234,                 1.0088,                0.54801,                0.87168,               0.004819,               0.004819,               0.004819
                    160,                  1.204,                0.69388,                  0.912,                0.90058,                0.87514,                0.92535,                0.71249,                 1.0086,                0.54756,                0.87163,               0.004786,               0.004786,               0.004786
                    161,                 1.1939,                 0.6877,                0.91029,                0.90084,                0.87582,                0.92504,                0.71266,                 1.0082,                0.54722,                0.87135,               0.004753,               0.004753,               0.004753
                    162,                 1.1993,                0.69321,                0.90961,                0.90521,                 0.8738,                0.92547,                0.71347,                 1.0083,                0.54689,                0.87105,                0.00472,                0.00472,                0.00472
                    163,                 1.1914,                 0.6857,                0.90823,                0.90435,                0.87528,                0.92621,                0.71333,                 1.0084,                0.54654,                0.87089,               0.004687,               0.004687,               0.004687
                    164,                 1.1949,                0.68562,                0.90841,                0.90614,                0.87424,                0.92638,                0.71445,                 1.0086,                0.54664,                0.87079,               0.004654,               0.004654,               0.004654
                    165,                 1.2017,                0.69389,                0.91063,                0.90863,                0.87402,                0.92685,                0.71448,                 1.0079,                0.54612,                0.87065,               0.004621,               0.004621,               0.004621
                    166,                 1.1904,                0.68661,                0.91043,                0.90582,                 0.8773,                0.92685,                0.71391,                 1.0065,                0.54538,                0.87034,               0.004588,               0.004588,               0.004588
                    167,                 1.1856,                0.68331,                0.91157,                0.90453,                0.87792,                0.92702,                0.71397,                 1.0062,                0.54473,                 0.8702,               0.004555,               0.004555,               0.004555
                    168,                  1.202,                0.68888,                0.91273,                0.90689,                0.87653,                0.92735,                0.71452,                 1.0052,                0.54431,                0.87008,               0.004522,               0.004522,               0.004522
                    169,                 1.1834,                0.67417,                0.90731,                 0.9093,                0.87457,                0.92789,                0.71428,                 1.0047,                0.54376,                0.86996,               0.004489,               0.004489,               0.004489
                    170,                  1.196,                0.68818,                0.91032,                0.90451,                0.87555,                0.92759,                0.71485,                  1.004,                0.54347,                0.86977,               0.004456,               0.004456,               0.004456
                    171,                 1.1877,                0.68199,                0.90848,                0.90157,                0.88022,                0.92789,                0.71492,                 1.0034,                0.54295,                0.86951,               0.004423,               0.004423,               0.004423
                    172,                 1.1765,                0.67272,                0.90692,                0.90062,                0.87999,                0.92777,                0.71451,                 1.0026,                0.54225,                0.86936,                0.00439,                0.00439,                0.00439
                    173,                 1.1844,                0.68154,                0.90673,                0.89965,                0.88077,                0.92837,                0.71499,                 1.0022,                0.54189,                0.86924,               0.004357,               0.004357,               0.004357
                    174,                 1.1851,                0.68108,                0.91016,                0.90032,                0.88038,                0.92856,                0.71392,                 1.0018,                 0.5413,                0.86912,               0.004324,               0.004324,               0.004324
                    175,                 1.1877,                0.68424,                0.90892,                  0.906,                0.87832,                0.92898,                0.71391,                 1.0014,                0.54097,                0.86895,               0.004291,               0.004291,               0.004291
                    176,                 1.1822,                 0.6805,                0.91086,                0.90572,                0.87947,                0.92897,                0.71504,                 1.0007,                0.54068,                0.86868,               0.004258,               0.004258,               0.004258
                    177,                 1.1785,                0.67861,                0.90668,                0.90385,                0.87893,                0.92872,                0.71494,                0.99981,                0.54029,                0.86852,               0.004225,               0.004225,               0.004225
                    178,                 1.1715,                0.67538,                0.90573,                0.90333,                0.87941,                0.92885,                0.71561,                0.99918,                0.53996,                0.86833,               0.004192,               0.004192,               0.004192
                    179,                 1.1804,                0.67442,                0.90888,                0.90085,                0.88143,                0.92847,                 0.7162,                0.99855,                0.53979,                0.86823,               0.004159,               0.004159,               0.004159
                    180,                 1.1824,                0.67917,                0.90768,                0.90287,                0.88304,                0.93019,                0.71664,                0.99762,                0.53932,                0.86802,               0.004126,               0.004126,               0.004126
                    181,                 1.1732,                0.66948,                0.90453,                0.90328,                0.88325,                0.93036,                0.71677,                0.99676,                0.53862,                0.86776,               0.004093,               0.004093,               0.004093
                    182,                 1.1761,                0.67184,                0.90681,                0.89931,                0.88366,                0.93003,                0.71737,                0.99639,                0.53827,                0.86756,                0.00406,                0.00406,                0.00406
                    183,                 1.1793,                 0.6804,                0.90685,                0.90169,                0.88312,                0.93042,                0.71749,                0.99548,                 0.5378,                0.86731,               0.004027,               0.004027,               0.004027
                    184,                 1.1703,                0.67011,                 0.9031,                0.90227,                0.88295,                0.93055,                0.71788,                0.99488,                0.53734,                0.86708,               0.003994,               0.003994,               0.003994
                    185,                 1.1721,                0.67229,                0.90554,                0.90787,                0.87753,                0.93018,                0.71898,                0.99459,                0.53702,                0.86688,               0.003961,               0.003961,               0.003961
                    186,                 1.1657,                0.66685,                  0.903,                0.90864,                0.87776,                0.93062,                0.71936,                0.99416,                0.53678,                0.86668,               0.003928,               0.003928,               0.003928
                    187,                 1.1643,                0.66988,                0.90491,                0.90733,                0.88035,                0.93079,                0.72008,                0.99382,                0.53641,                0.86658,               0.003895,               0.003895,               0.003895
                    188,                 1.1665,                0.66711,                0.90658,                0.90813,                0.87916,                0.93056,                0.71984,                0.99284,                0.53574,                0.86639,               0.003862,               0.003862,               0.003862
                    189,                 1.1653,                0.66576,                 0.9045,                0.90478,                0.88313,                0.93105,                0.72081,                0.99239,                0.53538,                0.86625,               0.003829,               0.003829,               0.003829
                    190,                 1.1745,                0.66978,                0.90335,                0.90332,                0.88375,                0.93131,                0.72148,                0.99201,                0.53497,                0.86602,               0.003796,               0.003796,               0.003796
                    191,                 1.1759,                0.66753,                0.90352,                0.90405,                0.88332,                0.93121,                 0.7219,                0.99173,                0.53463,                0.86591,               0.003763,               0.003763,               0.003763
                    192,                 1.1646,                0.66406,                 0.8985,                0.90332,                0.88421,                0.93151,                0.72223,                0.99136,                0.53414,                0.86579,                0.00373,                0.00373,                0.00373
                    193,                 1.1657,                0.66252,                0.90321,                0.90474,                0.88326,                 0.9319,                0.72301,                0.99066,                0.53367,                0.86562,               0.003697,               0.003697,               0.003697
                    194,                 1.1722,                0.66867,                0.90241,                 0.9087,                0.88057,                0.93215,                0.72364,                0.99006,                0.53338,                0.86551,               0.003664,               0.003664,               0.003664
                    195,                 1.1632,                0.66231,                0.90265,                0.90573,                0.88376,                0.93227,                0.72364,                 0.9895,                0.53292,                 0.8654,               0.003631,               0.003631,               0.003631
                    196,                 1.1654,                0.66673,                0.90417,                0.90953,                0.88122,                0.93245,                0.72406,                0.98883,                0.53261,                0.86524,               0.003598,               0.003598,               0.003598
                    197,                 1.1597,                0.65856,                0.90167,                0.90718,                0.88333,                0.93253,                0.72436,                0.98829,                0.53243,                0.86509,               0.003565,               0.003565,               0.003565
                    198,                 1.1491,                0.65965,                 0.8991,                0.90514,                0.88475,                0.93245,                0.72479,                0.98817,                0.53199,                0.86496,               0.003532,               0.003532,               0.003532
                    199,                 1.1618,                0.66452,                0.90203,                 0.9041,                0.88598,                0.93285,                0.72544,                0.98781,                0.53177,                0.86483,               0.003499,               0.003499,               0.003499
                    200,                 1.1632,                 0.6603,                0.90119,                0.90821,                0.88385,                0.93305,                0.72526,                0.98749,                 0.5316,                0.86469,               0.003466,               0.003466,               0.003466
                    201,                 1.1653,                0.66192,                0.89892,                0.90776,                0.88485,                0.93313,                0.72563,                0.98704,                0.53114,                0.86446,               0.003433,               0.003433,               0.003433
                    202,                 1.1684,                0.66267,                0.89931,                0.90845,                0.88515,                0.93345,                0.72567,                0.98665,                0.53083,                0.86427,                 0.0034,                 0.0034,                 0.0034
                    203,                 1.1534,                0.65709,                0.89971,                 0.9088,                0.88479,                0.93365,                0.72621,                0.98628,                0.53047,                0.86412,               0.003367,               0.003367,               0.003367
                    204,                 1.1491,                0.65485,                0.89963,                0.90937,                 0.8853,                0.93398,                0.72675,                0.98577,                0.53002,                0.86395,               0.003334,               0.003334,               0.003334
                    205,                 1.1589,                0.65828,                0.90006,                 0.9095,                0.88528,                0.93427,                0.72652,                0.98572,                0.52976,                0.86382,               0.003301,               0.003301,               0.003301
                    206,                 1.1546,                0.65288,                0.89851,                0.90898,                0.88584,                0.93441,                0.72702,                 0.9853,                0.52954,                0.86369,               0.003268,               0.003268,               0.003268
                    207,                 1.1667,                0.65635,                0.89895,                0.90872,                0.88683,                0.93439,                0.72746,                0.98506,                0.52929,                0.86358,               0.003235,               0.003235,               0.003235
                    208,                 1.1503,                0.65178,                0.89425,                0.90939,                0.88678,                0.93456,                0.72789,                0.98489,                0.52904,                0.86347,               0.003202,               0.003202,               0.003202
                    209,                  1.161,                0.66002,                0.89856,                 0.9101,                0.88641,                0.93476,                0.72801,                0.98422,                0.52869,                0.86329,               0.003169,               0.003169,               0.003169
                    210,                 1.1446,                0.65208,                0.89949,                0.91085,                0.88733,                0.93488,                0.72827,                0.98384,                0.52839,                0.86312,               0.003136,               0.003136,               0.003136
                    211,                  1.154,                0.64951,                0.89527,                0.91107,                0.88759,                0.93517,                0.72916,                 0.9835,                0.52801,                0.86299,               0.003103,               0.003103,               0.003103
                    212,                 1.1605,                0.65537,                0.89754,                0.91183,                0.88673,                0.93524,                0.72881,                0.98341,                0.52763,                0.86292,                0.00307,                0.00307,                0.00307
                    213,                 1.1524,                0.65128,                0.89749,                0.91263,                0.88663,                0.93534,                0.72917,                0.98302,                0.52732,                0.86281,               0.003037,               0.003037,               0.003037
                    214,                 1.1394,                0.64563,                0.89508,                0.91298,                0.88692,                0.93544,                0.72957,                 0.9827,                0.52709,                0.86266,               0.003004,               0.003004,               0.003004
                    215,                 1.1386,                0.64818,                0.89781,                0.91399,                0.88732,                0.93573,                0.73039,                 0.9821,                0.52673,                0.86255,               0.002971,               0.002971,               0.002971
                    216,                 1.1467,                0.64724,                0.89734,                0.91351,                0.88801,                0.93561,                0.72997,                0.98176,                0.52661,                0.86246,               0.002938,               0.002938,               0.002938
                    217,                 1.1407,                0.64354,                0.89599,                0.91395,                 0.8877,                0.93561,                0.72954,                0.98124,                0.52617,                0.86233,               0.002905,               0.002905,               0.002905
                    218,                  1.145,                  0.645,                0.89662,                0.91606,                0.88646,                0.93573,                0.73065,                 0.9812,                0.52596,                0.86223,               0.002872,               0.002872,               0.002872
                    219,                 1.1442,                0.64347,                0.89561,                0.91492,                0.88761,                0.93582,                0.73082,                0.98068,                0.52566,                0.86211,               0.002839,               0.002839,               0.002839
                    220,                 1.1358,                0.64171,                0.89531,                0.91622,                0.88666,                0.93581,                 0.7312,                0.98033,                0.52539,                0.86197,               0.002806,               0.002806,               0.002806
                    221,                 1.1489,                0.64562,                0.89927,                0.91578,                 0.8872,                0.93598,                0.73151,                0.98011,                0.52521,                0.86188,               0.002773,               0.002773,               0.002773
                    222,                 1.1335,                0.64093,                0.89632,                0.91653,                0.88669,                  0.936,                0.73099,                0.98006,                0.52513,                0.86186,                0.00274,                0.00274,                0.00274
                    223,                 1.1366,                0.64312,                0.89697,                 0.9163,                0.88639,                  0.936,                0.73127,                0.97991,                0.52503,                0.86179,               0.002707,               0.002707,               0.002707
                    224,                 1.1328,                0.64089,                0.89551,                0.91649,                0.88669,                0.93604,                0.73162,                0.97978,                0.52484,                 0.8617,               0.002674,               0.002674,               0.002674
                    225,                  1.139,                0.64591,                0.89578,                0.91438,                0.88804,                0.93614,                0.73192,                0.97934,                0.52458,                0.86157,               0.002641,               0.002641,               0.002641
                    226,                 1.1337,                0.63753,                0.89333,                0.91392,                0.88834,                0.93631,                0.73217,                0.97906,                0.52425,                0.86149,               0.002608,               0.002608,               0.002608
                    227,                 1.1352,                0.64122,                0.89403,                0.91323,                0.88891,                0.93635,                0.73237,                0.97864,                0.52415,                0.86137,               0.002575,               0.002575,               0.002575
                    228,                 1.1282,                0.63742,                0.89541,                  0.915,                0.88867,                 0.9365,                0.73258,                0.97825,                0.52389,                0.86125,               0.002542,               0.002542,               0.002542
                    229,                   1.13,                0.63992,                 0.8932,                0.91705,                0.88794,                0.93667,                0.73277,                0.97792,                 0.5236,                0.86113,               0.002509,               0.002509,               0.002509
                    230,                 1.1288,                 0.6359,                0.89461,                 0.9184,                0.88763,                0.93676,                0.73301,                0.97756,                0.52335,                0.86101,               0.002476,               0.002476,               0.002476
                    231,                  1.121,                0.62944,                0.89334,                0.91874,                0.88795,                0.93669,                0.73299,                0.97729,                0.52313,                0.86092,               0.002443,               0.002443,               0.002443
                    232,                 1.1332,                0.63824,                0.89223,                0.91938,                0.88808,                0.93653,                0.73351,                0.97688,                0.52278,                0.86083,                0.00241,                0.00241,                0.00241
                    233,                 1.1105,                0.62269,                0.89194,                0.92136,                0.88697,                0.93661,                0.73364,                0.97658,                0.52257,                0.86075,               0.002377,               0.002377,               0.002377
                    234,                 1.1321,                0.63321,                0.89008,                0.92132,                 0.8879,                0.93675,                0.73366,                0.97652,                0.52243,                0.86066,               0.002344,               0.002344,               0.002344
                    235,                 1.1249,                0.63388,                0.89349,                0.91889,                0.88951,                 0.9368,                 0.7343,                0.97607,                0.52214,                0.86055,               0.002311,               0.002311,               0.002311
                    236,                 1.1304,                0.64011,                0.89606,                0.92064,                0.88831,                0.93718,                 0.7341,                0.97578,                0.52202,                0.86048,               0.002278,               0.002278,               0.002278
                    237,                 1.1272,                0.63246,                0.89159,                0.91917,                0.88963,                0.93698,                0.73457,                0.97555,                0.52173,                0.86038,               0.002245,               0.002245,               0.002245
                    238,                 1.1245,                0.63002,                0.89112,                 0.9192,                0.88943,                0.93726,                0.73492,                0.97526,                0.52156,                0.86029,               0.002212,               0.002212,               0.002212
                    239,                 1.1284,                0.63195,                0.88792,                0.91971,                0.88981,                0.93798,                0.73575,                0.97462,                0.52119,                0.86018,               0.002179,               0.002179,               0.002179
                    240,                 1.1065,                0.62656,                0.89119,                0.91869,                0.88984,                0.93758,                0.73564,                0.97422,                0.52085,                0.86003,               0.002146,               0.002146,               0.002146
                    241,                 1.1291,                0.63421,                0.89052,                0.91894,                0.89082,                0.93824,                0.73558,                0.97408,                0.52074,                0.85993,               0.002113,               0.002113,               0.002113
                    242,                 1.1131,                0.62184,                0.88987,                0.91983,                0.89066,                0.93845,                0.73654,                0.97373,                0.52037,                0.85985,                0.00208,                0.00208,                0.00208
                    243,                 1.1238,                 0.6349,                0.88826,                0.91944,                0.89115,                0.93859,                0.73619,                0.97343,                0.52019,                0.85976,               0.002047,               0.002047,               0.002047
                    244,                 1.1222,                0.62716,                 0.8917,                0.92088,                0.89107,                0.93867,                0.73654,                0.97313,                0.52005,                0.85968,               0.002014,               0.002014,               0.002014
                    245,                 1.1163,                0.62505,                0.89088,                0.92127,                0.89103,                 0.9388,                0.73667,                0.97297,                 0.5198,                0.85961,               0.001981,               0.001981,               0.001981
                    246,                 1.0953,                0.61391,                0.88793,                0.92173,                0.89128,                0.93894,                0.73744,                0.97229,                0.51953,                0.85945,               0.001948,               0.001948,               0.001948
                    247,                 1.1185,                0.63031,                0.89102,                0.92111,                0.89173,                0.93904,                0.73767,                0.97194,                 0.5193,                0.85937,               0.001915,               0.001915,               0.001915
                    248,                   1.11,                0.61966,                0.88879,                0.91984,                0.89268,                0.93911,                0.73763,                0.97149,                0.51904,                0.85929,               0.001882,               0.001882,               0.001882
                    249,                 1.1003,                0.61658,                0.88865,                0.92233,                0.89165,                0.93931,                0.73811,                0.97109,                 0.5188,                0.85919,               0.001849,               0.001849,               0.001849
                    250,                 1.1053,                0.61892,                0.88759,                0.92305,                0.89178,                0.93934,                0.73833,                0.97069,                0.51858,                0.85908,               0.001816,               0.001816,               0.001816
                    251,                 1.1104,                0.62034,                0.88746,                  0.923,                0.89175,                0.93933,                0.73893,                0.97027,                0.51829,                0.85898,               0.001783,               0.001783,               0.001783
                    252,                 1.1169,                0.62318,                0.88851,                0.92358,                0.89132,                 0.9394,                0.73909,                0.96984,                0.51814,                0.85889,                0.00175,                0.00175,                0.00175
                    253,                  1.107,                0.61713,                0.88914,                0.92318,                 0.8917,                0.93948,                0.73936,                0.96964,                0.51789,                0.85878,               0.001717,               0.001717,               0.001717
                    254,                 1.1168,                 0.6215,                0.88638,                0.92333,                0.89162,                 0.9396,                0.73972,                0.96917,                0.51756,                0.85869,               0.001684,               0.001684,               0.001684
                    255,                 1.0995,                0.61461,                0.88905,                0.92215,                0.89199,                0.93957,                0.74014,                0.96906,                0.51745,                 0.8586,               0.001651,               0.001651,               0.001651
                    256,                 1.1045,                0.61886,                0.88802,                 0.9217,                0.89254,                 0.9397,                0.74012,                0.96856,                0.51722,                0.85853,               0.001618,               0.001618,               0.001618
                    257,                 1.1074,                0.61651,                0.88659,                0.92242,                0.89197,                0.93972,                0.74025,                0.96807,                0.51704,                0.85841,               0.001585,               0.001585,               0.001585
                    258,                 1.0979,                0.61736,                0.89009,                0.92168,                0.89282,                0.93971,                0.74076,                0.96785,                0.51698,                0.85835,               0.001552,               0.001552,               0.001552
                    259,                 1.1037,                0.61871,                0.88745,                0.92496,                0.89119,                 0.9398,                 0.7412,                0.96763,                0.51672,                0.85825,               0.001519,               0.001519,               0.001519
                    260,                  1.097,                0.61359,                0.88683,                0.92374,                0.89207,                0.93989,                0.74093,                0.96733,                0.51639,                0.85814,               0.001486,               0.001486,               0.001486
                    261,                 1.1054,                 0.6144,                 0.8855,                0.92337,                0.89234,                0.93989,                0.74149,                0.96719,                0.51624,                 0.8581,               0.001453,               0.001453,               0.001453
                    262,                 1.0981,                0.61418,                0.88442,                0.92256,                0.89324,                   0.94,                 0.7417,                 0.9666,                0.51587,                  0.858,                0.00142,                0.00142,                0.00142
                    263,                 1.0976,                0.60918,                0.88378,                0.92353,                 0.8934,                0.94019,                0.74169,                 0.9665,                0.51569,                0.85795,               0.001387,               0.001387,               0.001387
                    264,                 1.0988,                0.60929,                0.88425,                0.92425,                0.89302,                0.94024,                0.74192,                0.96627,                 0.5155,                0.85787,               0.001354,               0.001354,               0.001354
                    265,                 1.1071,                0.61908,                0.88461,                0.92474,                0.89393,                0.94035,                0.74229,                0.96628,                 0.5154,                 0.8578,               0.001321,               0.001321,               0.001321
                    266,                 1.1065,                0.61542,                0.88364,                0.92437,                0.89433,                0.94042,                0.74259,                0.96623,                 0.5154,                0.85775,               0.001288,               0.001288,               0.001288
                    267,                 1.0932,                0.61138,                0.88546,                0.92478,                0.89459,                0.94035,                0.74249,                0.96623,                0.51529,                0.85768,               0.001255,               0.001255,               0.001255
                    268,                 1.0989,                0.61014,                0.88498,                0.92574,                0.89407,                 0.9405,                 0.7426,                0.96621,                0.51518,                0.85764,               0.001222,               0.001222,               0.001222
                    269,                 1.0875,                0.60789,                0.88277,                0.92566,                 0.8947,                0.94083,                0.74245,                0.96611,                0.51504,                0.85756,               0.001189,               0.001189,               0.001189
                    270,                 1.0933,                0.60829,                0.88449,                0.92641,                0.89493,                0.94078,                0.74267,                0.96597,                0.51496,                0.85748,               0.001156,               0.001156,               0.001156
                    271,                  1.095,                 0.6094,                0.88319,                0.92653,                0.89492,                0.94094,                0.74333,                0.96578,                0.51478,                0.85738,               0.001123,               0.001123,               0.001123
                    272,                 1.0988,                0.61132,                0.88354,                0.92707,                0.89451,                0.94091,                0.74333,                0.96552,                0.51466,                0.85728,                0.00109,                0.00109,                0.00109
                    273,                 1.0787,                0.60123,                0.88338,                0.92702,                 0.8943,                0.94074,                0.74366,                0.96553,                 0.5146,                0.85724,               0.001057,               0.001057,               0.001057
                    274,                 1.0925,                0.60751,                0.88282,                0.92644,                0.89501,                0.94079,                0.74381,                0.96511,                 0.5145,                0.85717,               0.001024,               0.001024,               0.001024
                    275,                 1.0934,                0.60842,                0.88308,                0.92687,                0.89467,                0.94081,                0.74425,                0.96493,                0.51428,                0.85711,               0.000991,               0.000991,               0.000991
                    276,                 1.0987,                0.60919,                0.88244,                0.92684,                0.89524,                0.94095,                0.74428,                0.96475,                0.51413,                0.85704,               0.000958,               0.000958,               0.000958
                    277,                 1.0918,                0.61002,                0.88207,                0.92763,                0.89532,                0.94096,                0.74422,                0.96475,                0.51412,                0.85697,               0.000925,               0.000925,               0.000925
                    278,                 1.0816,                0.60118,                0.88084,                0.92748,                0.89595,                0.94102,                0.74465,                0.96442,                0.51391,                0.85691,               0.000892,               0.000892,               0.000892
                    279,                 1.0894,                 0.6034,                0.88206,                0.92641,                0.89736,                0.94119,                 0.7445,                 0.9642,                0.51372,                0.85684,               0.000859,               0.000859,               0.000859
                    280,                 1.0874,                 0.6037,                 0.8835,                0.92781,                0.89653,                0.94137,                0.74495,                0.96395,                0.51354,                0.85676,               0.000826,               0.000826,               0.000826
                    281,                 1.0917,                0.60641,                0.88256,                0.92873,                  0.896,                0.94133,                0.74495,                0.96371,                0.51329,                0.85668,               0.000793,               0.000793,               0.000793
                    282,                 1.0885,                0.60222,                0.88171,                0.92839,                 0.8963,                0.94138,                 0.7449,                0.96353,                0.51323,                0.85663,                0.00076,                0.00076,                0.00076
                    283,                 1.0747,                0.59257,                0.88174,                0.92803,                0.89672,                0.94146,                  0.745,                0.96314,                0.51306,                0.85652,               0.000727,               0.000727,               0.000727
                    284,                 1.0737,                0.59435,                0.88081,                0.92683,                0.89824,                0.94143,                0.74505,                0.96279,                0.51279,                0.85645,               0.000694,               0.000694,               0.000694
                    285,                 1.0655,                0.59185,                0.88001,                0.92599,                0.89918,                0.94152,                0.74556,                0.96236,                0.51256,                0.85636,               0.000661,               0.000661,               0.000661
                    286,                 1.0826,                0.60223,                0.88235,                0.92623,                0.89925,                0.94157,                0.74586,                0.96202,                0.51243,                0.85629,               0.000628,               0.000628,               0.000628
                    287,                 1.0693,                0.59307,                0.88143,                0.92665,                0.89871,                0.94167,                0.74605,                0.96176,                0.51232,                0.85622,               0.000595,               0.000595,               0.000595
                    288,                 1.0852,                0.59595,                 0.8808,                0.92663,                0.89913,                0.94179,                0.74644,                0.96128,                0.51215,                0.85616,               0.000562,               0.000562,               0.000562
                    289,                 1.0714,                0.59057,                0.88035,                0.92794,                0.89869,                0.94188,                 0.7461,                0.96103,                0.51211,                0.85607,               0.000529,               0.000529,               0.000529
                    290,                 1.0717,                0.59227,                0.87978,                0.92904,                0.89832,                0.94195,                0.74655,                0.96074,                0.51188,                0.85601,               0.000496,               0.000496,               0.000496
                    291,                 1.0153,                0.55972,                0.87346,                0.92878,                  0.899,                0.94212,                0.74653,                0.96053,                0.51188,                0.85597,               0.000463,               0.000463,               0.000463
                    292,                 1.0188,                0.56005,                0.87198,                0.92909,                0.89877,                0.94221,                0.74621,                0.96066,                0.51176,                0.85593,                0.00043,                0.00043,                0.00043
                    293,                 1.0095,                0.55203,                0.87116,                0.92879,                0.90054,                0.94234,                0.74656,                0.96041,                0.51164,                0.85587,               0.000397,               0.000397,               0.000397
                    294,                 1.0021,                0.54945,                0.87066,                0.92816,                0.90097,                0.94256,                0.74664,                0.96019,                 0.5115,                0.85579,               0.000364,               0.000364,               0.000364
                    295,                 1.0052,                0.54959,                0.87034,                0.93014,                0.90103,                0.94245,                0.74684,                0.96027,                0.51144,                0.85575,               0.000331,               0.000331,               0.000331
                    296,                 1.0029,                0.54754,                0.87085,                0.93002,                0.90109,                0.94259,                0.74679,                0.96008,                0.51135,                 0.8557,               0.000298,               0.000298,               0.000298
                    297,                 1.0119,                0.55197,                0.86996,                 0.9294,                0.90151,                0.94257,                0.74679,                0.95986,                0.51107,                0.85563,               0.000265,               0.000265,               0.000265
                    298,                 0.9979,                 0.5448,                0.86634,                0.92994,                0.90104,                0.94263,                0.74712,                0.95969,                  0.511,                0.85558,               0.000232,               0.000232,               0.000232
                    299,                 1.0051,                0.54742,                0.86813,                0.92966,                0.90069,                 0.9428,                 0.7473,                0.95942,                 0.5108,                0.85552,               0.000199,               0.000199,               0.000199
                    300,                  1.011,                0.54989,                 0.8717,                0.93015,                0.90047,                0.94283,                0.74772,                0.95916,                 0.5107,                0.85545,               0.000166,               0.000166,               0.000166
